Model,Accuracy,Precision,Recall,F1_Score
Ensamble (Votación Mayoritaria - RF+KNN+NB),0.911,0.911674269439452,0.909779838791341,0.910099577227199
SVM (radial),0.931,0.934079416686714,0.930590574198226,0.931344710890005
Decision Tree (rpart) - no podado,0.746,0.74357781572393,0.740769198328688,0.74059722337408
Decision Tree (rpart) - (min xerror),0.746,0.74357781572393,0.740769198328688,0.74059722337408
Random Forest (randomForest),0.904,0.905029190634976,0.902625486205855,0.903346535379549
