Model,Accuracy,Precision,Recall,F1_Score
MLP (nnet) - Tuneado,0.8165,0.814876002100043,0.81598668750414,0.814871763013461
Random Forest (randomForest),0.9165,0.915747191575718,0.916283126566641,0.915719203656062
Decision Tree (rpart) - podado,0.7495,0.749390531391715,0.749304575315522,0.747787191418999
SVM (radial),0.951,0.951071518781374,0.950612032053186,0.950638304890906
Ensamble (Votación Mayoritaria - RF+KNN+NB),0.9145,0.914255718242404,0.913982680055101,0.91362992995068
