Model,Accuracy,Precision,Recall,F1_Score
SVM (radial),0.766,0.900117482627337,0.764168484793885,0.798948683918884
Ensamble (Votación Mayoritaria - RF+KNN+NB),0.796019900497513,0.876328728461082,0.798607028935976,0.814552572356467
Decision Tree (rpart) - no podado,0.7595,0.759234202331756,0.759980593293546,0.758317875517359
Decision Tree (rpart) - (min xerror),0.7595,0.759234202331756,0.759980593293546,0.758317875517359
Random Forest (randomForest),0.935,0.934416077857493,0.934383276822807,0.934146323457751
